file,grupo,tipo_gestion,contacto_efectivo,de_donde_llaman,origen_deuda,monto_total_actual_cop,descuento_pct,descuento_monto_cop,valor_a_pagar_cop,n_cuotas,fecha_max_pago,fecha_pago_acordada,comparte_medios_pago,cliente_puede_pagar,objecion_cliente,tipo_objecion,alternativa_propuesta,resultado_llamada,caso_exito,quien_corta_la_llamada,motivo_fin_llamada,confianza_extraccion,notas,tono_inicial_cliente,tono_final_cliente,cambio_tono,agente_se_adapta
2d454b7b-9f12-4acb-8101-d3ba74bb84ff,humano,seguimiento_o_renegociacion,True,área de conciliación de crédito (censurado),,837000,,,,,"sábado (plazo de la oferta anterior, ya vencido)",,False,tal_vez,True,disputa_monto (reclama el valor de 650.000 que le habían ofrecido antes y se venció),cliente pide que se respete el valor anterior (650.000) como excepción; agente ofrece escalarlo a comité,otro,False,agente,sin cierre firme; queda pendiente de aprobación de una excepción por comité en 1-1.5 días,media,la oferta con descuento que tenía el cliente venció por no pagar a tiempo (sábado); ahora se le pide el valor casi completo,neutral,reacio,empeora,True
2e50e9db-53c9-4472-ad05-1ba1032dd707,humano,seguimiento_o_renegociacion,True,,,1272500,,,,,30 de junio,,True,no_queda_claro,False,,,otro,False,agente,"cliente está de viaje, pide que lo llamen más tarde; se agenda un nuevo contacto en una hora, sin cierre en esta llamada",media,"fechas mencionadas (25 de julio y 30 de junio) son inconsistentes entre sí, probablemente error de transcripción o de la llamada original",neutral,neutral,igual,
306c762c-73a1-4690-962d-53f1a14f05b6,humano,otro,False,Crediparaíso,,,,,,,,,,no_queda_claro,True,no_reconoce_deuda (el familiar dice que la deuda ya fue pagada y saldada desde diciembre),,otro,False,agente,contesta un familiar del titular disputando que la deuda ya está saldada; se pide reenviar comprobante por WhatsApp,alta,"no se habla con la titular directamente, sino con su hijo",neutral,neutral,igual,True
336a8602-1b56-4ca6-9dcc-7491b9a92a8a,humano,seguimiento_o_renegociacion,True,Soluciones (nombre censurado),,300000,,,300000,1,30 de junio,15 de julio,True,si,True,no_tiene_plata (calamidad),,fecha_acordada_sin_descuento,True,agente,se reprograma la fecha de pago y se despide cordialmente,alta,,colaborador,colaborador,igual,True
380f5075-47be-435f-b595-7e2c48dbb21b,humano,seguimiento_o_renegociacion,True,Reconectemos,,,,,,18,mañana 15 (en la mañana),mañana 15,True,si,False,,,fecha_acordada_sin_descuento,True,agente,"llamada de recordatorio de cuota; cliente confirma, se despide cordialmente",alta,cuota mencionada: 281.036 pesos; el total de la deuda no se menciona explícitamente,colaborador,colaborador,igual,False
38482ca0-4501-4b4c-99b5-16313e8eb12f,humano,nueva_oferta,True,Solución Acop,,2978790,,1408790,1570000,,,,True,no_queda_claro,True,prefiere_manejarlo_con_su_abogado (proceso de insolvencia en curso),,sin_acuerdo,False,agente,"cliente delega la gestión a su abogado (proceso de insolvencia), no negocia directamente en la llamada",alta,descuento de 100% intereses + 30% capital sobre dos obligaciones unificadas,desconfiado,colaborador,mejora,True
440cb585-d675-4ed9-afa4-934e2a0aae90,humano,seguimiento_o_renegociacion,True,Daniela (nombre censurado),,360000,,,360000,1,ayer,,True,no,True,no_tiene_plata (emergencia de salud de un familiar),,sin_acuerdo,False,agente,cliente no puede comprometerse a ninguna fecha por una emergencia familiar; se despide sin acuerdo,alta,,neutral,colaborador,mejora,True
50e0f632-d195-4476-b049-3720482d65d9,humano,seguimiento_o_renegociacion,True,,,,,,,,,,,tal_vez,True,queja_de_trato_de_agente_anterior (dice que otro agente no se dejó hablar y le colgó),cliente propone que el primer pago sea el 20 del próximo mes,otro,False,agente,"agente no confirma ni rechaza la fecha propuesta, solo dice que notificará al área encargada",baja,no se menciona ningún monto en esta llamada,molesto,neutral,mejora,False
635a7986-ddd2-47f3-a6de-82a217053afa,humano,seguimiento_o_renegociacion,True,Logros Factory,Pan (nombre censurado),1270000,,,1268100,1,3 de agosto,30 de agosto,True,si,True,no_tiene_plata,,fecha_acordada_sin_descuento,True,agente,se reprograma la fecha de pago tras un imprevisto (gasto veterinario) y se despide cordialmente,alta,,neutral,reacio,igual,True
63b9a147-5c33-40ba-87c7-124e4be56cda,humano,seguimiento_o_renegociacion,True,casa de cobranza (nombre censurado),,,,,,,,,True,no_queda_claro,False,,,otro,False,agente,llamada puramente informativa sobre medios de pago de un acuerdo ya cerrado antes; no hay nueva decisión de cierre en esta llamada,alta,primera cuota mencionada: 136.000 pesos; total de la deuda no se menciona,colaborador,colaborador,igual,False
66c2db61-5a3d-4020-a90a-007a029d0879,humano,seguimiento_o_renegociacion,True,,,145000,,,145000,1,hoy,apenas tenga tiempo (sin fecha exacta),True,tal_vez,False,,,otro,False,agente,"cliente dice que pagará por la plataforma apenas pueda, sin comprometerse a una fecha exacta",alta,,neutral,colaborador,mejora,True
67197ac4-63d9-4567-9e89-896e715ab906,humano,nueva_oferta,True,Logros Factory,,913000,,,,2,,,False,tal_vez,True,desconfia_de_la_llamada (ha recibido llamadas contradictorias de distintos cobradores),,sin_acuerdo,False,agente,cliente prefiere verificar en persona antes de comprometerse; se agenda seguimiento la próxima semana,alta,,desconfiado,neutral,mejora,True
6854b6cc-c858-4dd4-b326-b7d6fe55843a,humano,seguimiento_o_renegociacion,True,(censurado) Valores,,,,,,,,el día de hoy,True,si,False,,,fecha_acordada_sin_descuento,True,agente,se corrige el correo de contacto y el cliente confirma que pagaría hoy,media,"confirmación del cliente es breve ('sí señora, sí'), no hay monto explícito en este fragmento",colaborador,colaborador,igual,False
693045ed-afc8-4c9c-9eee-f7e34281fb16,humano,nueva_oferta,True,TIS,,200000,,,228000,1,,,False,no,True,no_tiene_plata (desempleo y enfermedad),,sin_acuerdo,False,agente,cliente no puede pagar por desempleo y enfermedad; agente dice que se comunicará después,baja,"hay cifras inconsistentes en la transcripción (200.000 vs 'dos millones ochocientos' mencionados en distintos puntos), posible error de STT",reacio,neutral,mejora,True
6bbff5d5-7d85-4587-94d9-4e44d4e4055b,humano,seguimiento_o_renegociacion,True,Solución Alco,,4240000,,,4240000,,,30 de julio,True,si,False,,,fecha_acordada_sin_descuento,True,agente,se formaliza por escrito un acuerdo que el cliente ya había hecho por teléfono días antes,alta,cuotas mensuales de 250.000 hasta completar 4.240.000; número exacto de cuotas no se dice explícitamente,colaborador,colaborador,igual,False
73ddf5ba-7005-41a6-88b5-be98fb909764,humano,seguimiento_o_renegociacion,True,,,,,,250600,,15 de agosto (compromiso original),29 de agosto,True,tal_vez,True,no_tiene_plata,el agente corre la fecha del compromiso de pago al 29 de agosto,fecha_acordada_sin_descuento,True,agente,se reagenda el pago y despedida cordial,alta,"es un seguimiento/recordatorio de un acuerdo de pago ya formalizado, no una oferta nueva; el 250.600 es el valor del compromiso pendiente, no se menciona deuda total original",neutral,colaborador,mejora,True
74aa7e2d-4d44-45cc-a3e5-97fb9383a960,humano,nueva_oferta,True,,,2236000,,,2236000,23,,los 30 de cada mes,True,si,False,,,cierre_1ra_oferta,True,agente,acuerdo formalizado (aprobado por comité) y despedida cordial,media,"no se menciona descuento explícito, es la formalización de un plan de pagos a 23 cuotas ya aprobado por comité; texto parcialmente censurado al inicio",colaborador,colaborador,igual,
74b16f62-f04d-42c8-9872-ea9b9ed1dd75,humano,nueva_oferta,True,TIS,"tarjeta de crédito, Credivalores compró la cartera",2487000,,,,,,,,no_queda_claro,True,disputa_monto,cliente ofrece enviar comprobante de un pago parcial anterior de 320.000 para que se revise el caso,sin_acuerdo,False,no_aplica,"la clienta (María Jennet) disputa el monto durante toda la llamada, alegando que solo debía 320.000 y ya pagó; termina sin acuerdo, agente pide que envíe soporte",media,"llamada larga (10 min) centrada en disputa del monto, nunca llega a una oferta concreta de descuento/cuotas",molesto,reacio,mejora,True
77d258d0-9b2e-4086-b624-f280eed0957b,humano,seguimiento_o_renegociacion,True,,UVA,1220000,,,88000,15,31 de julio (compromiso original),15 de agosto,True,si,True,no_tiene_plata,"cliente pide correr la fecha, ofrece pagar el 15 de agosto y abonar más si puede",fecha_acordada_sin_descuento,True,agente,se reagenda la cuota vencida y despedida cordial,alta,"15 cuotas de 88.000 = 1.320.000 aprox (el agente dice 'un total de millón doscientos veinte mil', ligera inconsistencia aritmética del propio agente, se reporta tal cual se dijo)",neutral,colaborador,mejora,True
7ea6c8f3-f6f7-42e8-8034-701caa6e62aa,humano,seguimiento_o_renegociacion,True,,,,,,910000,2,,primeros días de julio (vago),True,tal_vez,True,no_tiene_plata,cliente pide mover el pago de fin de mes a primeros días de julio,fecha_acordada_sin_descuento,True,agente,se acepta una fecha vaga y despedida cordial,media,"la fecha acordada es imprecisa ('para julio', sin día exacto); la llamada tiene un corte de audio breve a mitad",neutral,neutral,igual,False
82ee7afd-e2d3-4cfe-b82e-f7920f57f7ab,humano,nueva_oferta,True,,dos obligaciones,19620732,20,,15697000,3,,,,no_queda_claro,True,ya_tiene_otra_oferta,cliente dice que otra empresa ('Relato') ya le propuso pagar 8.000.000 en 10 cuotas,sin_acuerdo,False,no_aplica,cliente rechaza reiteradamente la oferta porque dice tener un acuerdo en curso con otra empresa; la transcripción se corta a mitad de frase,media,"transcripción incompleta (termina a mitad de 'el máximo'), no se ve un cierre explícito de la llamada",reacio,molesto,empeora,False
91b9fd77-d5d5-408f-ac90-fd78080780da,humano,nueva_oferta,True,TIS,Disposición de Crédito y Valores,1830000,,,,,,,,no,True,no_reconoce_deuda,,llamada_cortada,False,no_aplica,cliente niega deber la obligación ('no me han dado nada'); transcripción se corta a mitad,media,"objeción fuerte desde el inicio, no se alcanza a presentar ninguna propuesta de pago antes del corte",reacio,reacio,no_aplica,
92778da9-c37a-4eee-9ca5-81f835e7c5a4,humano,seguimiento_o_renegociacion,True,,Creý Valores,,,,,2,,,True,si,True,reclamo_gestion_duplicada,,otro,False,agente,cliente ya pagó las dos cuotas pactadas; solo queda pendiente reenviar el comprobante por WhatsApp,alta,"la deuda ya estaba saldada por el cliente antes de la llamada; se cuenta como caso_exito porque el banco ya recuperó el dinero, aunque no es un 'cierre' en el sentido de negociación",colaborador,colaborador,igual,
93d0abfc-ece6-488b-bee8-950abb980520,humano,seguimiento_o_renegociacion,True,,,,,,475000,,hoy,hoy,True,si,False,,,fecha_acordada_sin_descuento,True,agente,cliente confirma que paga hoy mismo; despedida cordial,alta,"llamada de reconfirmación de un acuerdo ya formalizado, con confusión sobre el WhatsApp/correo registrado",colaborador,colaborador,igual,True
9919c667-3ebe-4e77-98a6-58623c85f678,humano,seguimiento_o_renegociacion,True,Solución Acop,BBVA,,,,500000,7,hoy,hoy,True,si,True,desconfia_de_la_llamada,,fecha_acordada_sin_descuento,True,agente,"cliente confirma el pago de la 2da de 7 cuotas para hoy, tras validar la legitimidad de la llamada",alta,cliente pide pruebas de que la gestión es legítima (posible estafa); el agente lo resuelve con el documento de cesión,reacio,reacio,no_aplica,
a3383d00-b984-4cb8-845b-77e19c520ffd,humano,seguimiento_o_renegociacion,True,,,,,,400000,,13 de junio (compromiso original),10 de julio,True,tal_vez,True,no_tiene_plata,el agente extiende el plazo por motivos de salud de la clienta,fecha_acordada_sin_descuento,True,agente,se reagenda el pago por incumplimiento justificado en salud,alta,,desconfiado,colaborador,mejora,True
ab2ac983-c562-4f79-a570-ee22de052d88,humano,nueva_oferta,True,,,1400000,,,480000,1,mañana (cierre financiero),,,tal_vez,True,no_tiene_plata,cliente pide que lo llamen mañana a las 4pm para gestionar el préstamo del dinero,sin_acuerdo,False,agente,"no hay compromiso de pago fechado, solo se agenda una llamada de seguimiento para mañana",alta,"cliente interesado en el beneficio (paga 480.000 de una deuda de 1.400.000) pero no cierra nada hoy, solo promete gestionar el dinero",colaborador,colaborador,igual,True
ae0573ba-193e-42ac-bcc8-4c376a122f8e,humano,nueva_oferta,True,,,907405,,227405,680000,1,,15 de julio,True,si,False,,,cierre_1ra_oferta,True,agente,cliente acepta directamente la propuesta de pago único con descuento,alta,"descuento no se da como %, se calcula del monto: (907405-680000)/907405 ≈ 25%",colaborador,colaborador,igual,False
b7318057-111f-4bd0-adbc-943bd06ce4e0,humano,nueva_oferta,True,Creý Valores,,1420000,10,,1300000,2,,17 de julio y 15 de agosto,True,si,False,,"en vez de pago único de 1.278.000, se difiere en 2 cuotas de 650.000",cierre_2da_oferta_o_alternativa,True,agente,cliente elige la alternativa de pago en dos cuotas y acepta fechas,alta,"el agente menciona primero pago único de 1.278.000 (10% descuento) y luego dos cuotas de 650.000 (=1.300.000, leve inconsistencia con el 1.278.000 inicial)",colaborador,colaborador,igual,False
b954108b-c0c2-45e8-9032-1a3e87d60778,humano,otro,False,Salavera,,,,,,,,,,no_queda_claro,True,desconfia_de_la_llamada,,no_es_titular,False,no_aplica,contesta un tercero que se molesta y no permite comunicar con la titular; transcripción se corta a mitad,media,"tono agresivo del tercero ('¿usted es alguna juez?'), no se logra ningún dato de la deuda",reacio,colaborador,mejora,True
c067f714-3f61-478d-90da-b366c1f4da54,humano,seguimiento_o_renegociacion,True,el Ogro,Banco Bogotá,,,,580000,2,hoy,hoy,True,si,False,,,fecha_acordada_sin_descuento,True,agente,cliente confirma la primera cuota del acuerdo ya pactado para hoy,alta,,desconfiado,neutral,mejora,
c5d3d94f-8e64-459a-9794-509fc000611a,humano,otro,True,Conciliación de Deudores Factor,,,,,,,,,,no_queda_claro,False,,el agente ofrece dejar la información por WhatsApp,otro,False,cliente,cliente está ocupado y pide que le escriban por WhatsApp; la llamada termina sin comunicar ningún dato de la deuda,alta,,reacio,molesto,empeora,False
ce33bc23-16ba-43ec-afc5-9eac1cf0bf98,humano,nueva_oferta,True,T&S,"tarjeta de crédito, Credivalores",1348000,20,,1078400,3,,"30 de julio, 30 de agosto, 30 de septiembre",True,si,True,disputa_monto,"múltiples contraofertas de la clienta (monto, número de cuotas, fecha) hasta llegar al acuerdo final",cierre_2da_oferta_o_alternativa,True,agente,tras una negociación larga (20 min) se cierra un acuerdo a 3 cuotas con 20% de descuento,alta,llamada más larga de la muestra (20 min); la clienta inicialmente reclama que ya había pagado parte de la deuda antes,colaborador,colaborador,igual,True
d741fe26-bbd4-41ab-a3c5-0c94791c6a1f,humano,nueva_oferta,True,Logros,banco,856881,,,856881,3,,"31 de agosto, 30 de septiembre, 31 de octubre",True,si,False,,,cierre_1ra_oferta,True,agente,cliente acepta de inmediato el plan de pago a 3 cuotas,alta,"no se menciona descuento explícito, es un plan de pago a 3 cuotas del monto total; se menciona la ley 1581 de 2012 (grabación)",colaborador,colaborador,igual,False
e76a6feb-b941-4dfc-aebf-4288c13c539c,humano,seguimiento_o_renegociacion,True,,,110000,,,110000,,25 de julio (compromiso original),4 de agosto,True,si,True,no_tiene_plata,se reagenda el pago para mañana,fecha_acordada_sin_descuento,True,agente,se reagenda el pago pendiente y despedida cordial,alta,,neutral,colaborador,mejora,True
e7d964af-28a2-47e1-8fa2-dcab580267c0,humano,nueva_oferta,True,Solución Acop,tres obligaciones,16000000,30,,11000000,,,,,no_queda_claro,True,disputa_monto,,llamada_cortada,False,se_corta_tecnicamente,"la llamada se corta justo cuando el agente ofrece el 30% de descuento, no se conoce la respuesta de la clienta",media,"inconsistencia numérica del propio agente: primero exige pago único de 'dieciocho millones', luego usa 'dieciséis millones' para calcular el descuento",reacio,reacio,igual,True
e98181dc-2d7b-41ea-9524-59c721651a39,humano,seguimiento_o_renegociacion,True,,Tuya,358385,,18385,340000,1,19 de julio (compromiso original),31 de julio,True,si,False,,,fecha_acordada_sin_descuento,True,agente,se reagenda el pago del acuerdo ya pactado,alta,,colaborador,neutral,empeora,True
eaaa5092-71c6-47ba-8c34-9fa95854812a,humano,seguimiento_o_renegociacion,True,,Credivalores,7576400,,,,,,"5 de agosto (tentativa, sujeta a aprobación de comité)",,tal_vez,True,no_tiene_plata,"se renegocia el acuerdo original de pago único (7.410.000) a un plan de cuotas de ~300.000/mes, pendiente de aprobación de comité",otro,False,agente,"queda pendiente de respuesta de comité, sin compromiso firme",alta,el cliente incumplió un acuerdo previo de pago único por desempleo; se está renegociando a plazos,colaborador,colaborador,igual,True
f613df46-85a0-46bd-a148-7826aac2451c,humano,nueva_oferta,True,,,3741059,10,,3700000,,,,,no,True,no_tiene_plata,el agente ofrece también 2 cuotas de 1.504.000 o 12 cuotas de 251.000,sin_acuerdo,False,agente,"clienta desempleada no acepta ninguna opción, queda en 'tal vez septiembre'",alta,,reacio,neutral,mejora,True
f75a5ac6-d705-47f3-9ab1-f9e7aad6eab6,humano,seguimiento_o_renegociacion,True,,,,,,400000,,,el sábado (sin fecha exacta),,tal_vez,True,no_tiene_plata,,fecha_acordada_sin_descuento,True,cliente,"cliente promete abonar el sábado; tono muy informal y cercano entre agente y cliente ('hermano', 'mano')",media,fecha y monto vagos ('los cuatrocientos'); la cercanía del trato sugiere posible relación de gestión repetida con este cliente,colaborador,colaborador,igual,True
07c816c7-cb2b-4178-ab85-e501f1c38bd9,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",,5360000,7,400000,4960000,1,25 de julio,,False,no,True,no_tiene_plata,"cliente dice que se comunicará él cuando tenga el dinero, sin fecha concreta",sin_acuerdo,False,no_aplica,transcripción se corta con el agente insistiendo en formalizar hoy; el cliente rechazó dos veces,media,"transcripción incompleta al final, no se ve el cierre real",neutral,reacio,empeora,False
0aef8aeb-0086-4f38-b53d-a771fc949c2b,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",,7200000,33,2380000,4820000,3,,,,tal_vez,True,no_tiene_plata,agente pregunta cuánto podría pagar mensualmente en vez del pago propuesto,llamada_cortada,False,no_aplica,transcripción se corta en plena negociación del monto mensual,baja,"muy censurado; no se alcanza a ver resultado final [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",colaborador,reacio,empeora,True
12fb0266-c7af-4439-b62b-e9ce0c2e947f,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",,12470000,7,820000,11650000,1,26 de julio,,,no,True,no_tiene_plata,"agente ofrece acuerdo de largo plazo sin descuento, cuota propuesta por el cliente (50.000-70.000/mes); agente pide un valor más alto y no se cierra",sin_acuerdo,False,agente,cliente relata calamidad médica familiar y no puede comprometerse; agente cierra anunciando recontacto,alta,"llamada larga (~7 min), cliente muy cooperativo pero sin capacidad de pago; caso rico en detalle para 'por qué no cierra' [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",colaborador,colaborador,igual,True
19b3eddf-e2d6-4b68-befc-bdb10a10719a,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",Refinancia,12740000,,,,,,,,no_queda_claro,True,no_reconoce_deuda,,llamada_cortada,False,no_aplica,transcripción termina justo cuando el cliente pregunta de qué deuda le hablan,media,"muy corta y censurada, nunca se llega a la oferta [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",colaborador,desconfiado,empeora,
1a132947-7135-429f-ba15-825ac02ba601,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",tarjeta originada 24-oct-2021,2600000,19,490000,2110000,1,,30 de julio,True,si,True,no_reconoce_deuda,,cierre_1ra_oferta,True,agente,cliente acepta tras aclarar montos confusos; agente cierra con disclaimer legal estándar,alta,"hay bastante confusión de cifras entre agente y cliente antes de cerrar, pero el cierre final es explícito [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",desconfiado,colaborador,mejora,False
239a604a-3b58-445a-bfb4-88113ba4f232,ia,otro,False,,Credivalores,,,,,,,,,no_queda_claro,False,,el hermano de quien contesta ofrece dar el número de contacto del titular,no_es_titular,False,no_aplica,"contesta el hermano del titular, no está disponible",alta,,colaborador,colaborador,igual,
293e667b-63e6-43e4-a811-06249526467a,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",Credivalores,11020000,16,1730000,9290000,1,,,,no,True,no_reconoce_deuda,,sin_acuerdo,False,no_aplica,cliente niega rotundamente deber nada a Credivalores; transcripción se corta con el agente respondiendo,media,"rechazo muy claro aunque no se ve el cierre exacto [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",neutral,desconfiado,empeora,
3056dcb7-265d-42d8-a3c6-8bb2200860de,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",Banco W,70000,16,10000,60000,1,13 de agosto de 2026,13 de agosto de 2026,True,si,False,,,cierre_1ra_oferta,True,agente,cliente acepta de inmediato sin objeciones y confirma datos de contacto,alta,"deuda muy pequeña comparada con el resto de la muestra (70.000 COP) [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",colaborador,colaborador,igual,False
3147bab7-9e7f-496d-ae97-52b280194924,ia,otro,False,"área de embargos, judicializaciones y alivios financieros",Banco W,,,,,,,,,no_queda_claro,True,numero_equivocado,,otro,False,no_aplica,"persona reclama que ese número no corresponde al deudor desde hace más de 2 años, pide que lo retiren de la base",alta,reclamo fuerte de contacto erróneo persistente en el tiempo,molesto,molesto,igual,True
32616618-6ce3-484f-a1d9-c014394a3492,ia,otro,False,,,,,,,,,,,no_queda_claro,True,numero_equivocado,,otro,False,agente,persona dice no conocer al deudor; agente dice que van a actualizar registros y se despide,media,muy corta y censurada,reacio,reacio,igual,
3350acd3-f649-47c8-adf6-ce1c08312d8f,ia,nueva_oferta,True,"área de embargos, judicializaciones y alivios financieros",,,1,,4310000,1,4 de agosto de 2026,4 de agosto de 2026,True,si,False,,,cierre_1ra_oferta,True,no_aplica,"cliente acepta explícitamente ('Sí, señor... Acepto') y empieza a dar datos de contacto",alta,"monto total de la deuda queda censurado; solo se conoce el valor final a pagar [de_donde_llaman completado con regex sobre la frase estandarizada del guion de IA, que la extraccion semantica original no capturo]",reacio,colaborador,mejora,False
355812a5-2733-46fb-a2d3-5b388817fef4,ia,nueva_oferta,,,,650000,16,110000,540000,,21 de agosto de 2026,21 de agosto de 2026,True,no_queda_claro,False,,,otro,False,no_aplica,"el bot declara la propuesta aceptada y sigue pidiendo datos, pero no hay ninguna línea de texto atribuible al cliente en todo el archivo",baja,es una llamada de 'retomar el proceso' (recontacto tras gestión previa); posible falla de diarización: no se captura ningún turno del cliente pese a que el bot reacciona como si hubiera respuestas. No se marca caso_exito=true porque no es verificable con el texto disponible.,no_aplica,no_aplica,no_aplica,
